"April 20, 2021 at 09:01PM",pos_4_1,AP1,AP2,AP3
"April 25, 2021 at 03:02PM",pos_4_1,-50,-28,-50
"April 25, 2021 at 03:02PM",pos_4_1,-53,-28,-38
"April 25, 2021 at 03:02PM",pos_4_1,-50,-27,-49
"April 25, 2021 at 03:02PM",pos_4_1,-54,-28,-48
"April 25, 2021 at 03:02PM",pos_4_1,-49,-26,-44
"April 25, 2021 at 03:03PM",pos_4_1,-52,-27,-37
"April 25, 2021 at 03:03PM",pos_4_1,-52,-30,-44
"April 25, 2021 at 03:03PM",pos_4_1,-51,-30,-45
"April 25, 2021 at 03:03PM",pos_4_1,-50,-32,-37
"April 25, 2021 at 03:03PM",pos_4_1,-50,-28,-33
"April 25, 2021 at 03:04PM",pos_4_1,-50,-28,-37
"April 25, 2021 at 03:04PM",pos_4_1,-52,-29,-35
"April 25, 2021 at 03:04PM",pos_4_1,-49,-27,-36
"April 25, 2021 at 03:04PM",pos_4_1,-49,-26,-34
"April 25, 2021 at 03:05PM",pos_4_1,-50,-27,-34
"April 25, 2021 at 03:05PM",pos_4_1,-49,-29,-35
"April 25, 2021 at 03:05PM",pos_4_1,-52,-28,-37
"April 25, 2021 at 03:05PM",pos_4_1,-52,-25,-37
"April 25, 2021 at 03:05PM",pos_4_1,-51,-26,-33
"April 25, 2021 at 03:05PM",pos_4_1,-50,-27,-45
"April 25, 2021 at 03:06PM",pos_4_1,-50,-26,-34
"April 25, 2021 at 03:06PM",pos_4_1,-50,-29,-34
"April 25, 2021 at 03:06PM",pos_4_1,-50,-27,-37
"April 25, 2021 at 03:06PM",pos_4_1,-48,-28,-38
"April 25, 2021 at 03:06PM",pos_4_1,-42,-24,-48
"April 25, 2021 at 03:07PM",pos_4_1,-42,-27,-46
"April 25, 2021 at 03:07PM",pos_4_1,-49,-28,-37
"April 25, 2021 at 03:07PM",pos_4_1,-52,-27,-36
"April 25, 2021 at 03:07PM",pos_4_1,-49,-29,-40
"April 25, 2021 at 03:07PM",pos_4_1,-49,-26,-35
"April 25, 2021 at 03:08PM",pos_4_1,-49,-26,-35
"April 25, 2021 at 03:08PM",pos_4_1,-51,-25,-37
"April 25, 2021 at 03:08PM",pos_4_1,-47,-29,-38
"April 25, 2021 at 03:08PM",pos_4_1,-43,-29,-41
"April 25, 2021 at 03:08PM",pos_4_1,-47,-26,-38
"April 25, 2021 at 03:08PM",pos_4_1,-47,-24,-39
"April 25, 2021 at 03:09PM",pos_4_1,-43,-26,-38
"April 25, 2021 at 03:09PM",pos_4_1,-47,-31,-41
"April 25, 2021 at 03:09PM",pos_4_1,-41,-26,-37
"April 25, 2021 at 03:09PM",pos_4_1,-41,-24,-47
"April 25, 2021 at 03:09PM",pos_4_1,-47,-28,-38
"April 25, 2021 at 03:10PM",pos_4_1,-49,-71,-47
"April 25, 2021 at 03:10PM",pos_4_1,-58,-27,-35
"April 25, 2021 at 03:10PM",pos_4_1,-52,-31,-47
"April 25, 2021 at 03:10PM",pos_4_1,-47,-27,-42
"April 25, 2021 at 03:10PM",pos_4_1,-55,-28,-42
"April 25, 2021 at 03:10PM",pos_4_1,-50,-24,-36
"April 25, 2021 at 03:11PM",pos_4_1,-53,-29,-47
"April 25, 2021 at 03:11PM",pos_4_1,-50,-27,-37
"April 25, 2021 at 03:11PM",pos_4_1,-50,-26,-47
"April 25, 2021 at 03:11PM",pos_4_1,-51,-27,-47
"April 25, 2021 at 03:11PM",pos_4_1,-48,-28,-47
"April 25, 2021 at 03:12PM",pos_4_1,-48,-28,-47
"April 25, 2021 at 03:12PM",pos_4_1,-47,-28,-40
"April 25, 2021 at 03:12PM",pos_4_1,-48,-27,-46
"April 25, 2021 at 03:12PM",pos_4_1,-50,-26,-38
"April 25, 2021 at 03:12PM",pos_4_1,-49,-28,-44
"April 25, 2021 at 03:13PM",pos_4_1,-49,-28,-40
"April 25, 2021 at 03:13PM",pos_4_1,-50,-28,-38
"April 25, 2021 at 03:13PM",pos_4_1,-49,-26,-37
"April 25, 2021 at 03:13PM",pos_4_1,-50,-29,-41
"April 25, 2021 at 03:13PM",pos_4_1,-51,-28,-41
"April 25, 2021 at 03:14PM",pos_4_1,-52,-27,-48
