"April 20, 2021 at 08:51PM",pos_3_1,AP1,AP2,AP3
"April 24, 2021 at 04:10PM",pos_3_1,-40,-38,-33
"April 24, 2021 at 04:11PM",pos_3_1,-38,-39,-43
"April 24, 2021 at 04:11PM",pos_3_1,-37,-35,-41
"April 24, 2021 at 04:18PM",pos_3_1,-35,-53,-36
"April 24, 2021 at 04:18PM",pos_3_1,-36,-46,-30
"April 24, 2021 at 04:18PM",pos_3_1,-35,-49,-34
"April 24, 2021 at 04:18PM",pos_3_1,-46,-49,-34
"April 24, 2021 at 04:19PM",pos_3_1,-37,-49,-29
"April 24, 2021 at 04:19PM",pos_3_1,-37,-50,-32
"April 24, 2021 at 04:19PM",pos_3_1,-37,-51,-31
"April 24, 2021 at 04:19PM",pos_3_1,-37,-39,-32
"April 24, 2021 at 04:20PM",pos_3_1,-36,-39,-31
"April 24, 2021 at 04:20PM",pos_3_1,-37,-40,-31
"April 24, 2021 at 04:20PM",pos_3_1,-38,-50,-32
"April 24, 2021 at 04:20PM",pos_3_1,-40,-50,-31
"April 24, 2021 at 04:20PM",pos_3_1,-36,-36,-29
"April 24, 2021 at 04:21PM",pos_3_1,-38,-39,-34
"April 24, 2021 at 04:22PM",pos_3_1,-37,-48,-35
"April 24, 2021 at 04:23PM",pos_3_1,-36,-39,-29
"April 24, 2021 at 04:23PM",pos_3_1,-38,-49,-30
"April 24, 2021 at 04:23PM",pos_3_1,-36,-38,-30
"April 24, 2021 at 04:23PM",pos_3_1,-35,-40,-28
"April 24, 2021 at 04:24PM",pos_3_1,-37,-37,-29
"April 24, 2021 at 04:24PM",pos_3_1,-36,-75,-31
"April 24, 2021 at 04:24PM",pos_3_1,-40,-39,-30
"April 24, 2021 at 04:24PM",pos_3_1,-40,-48,-30
"April 24, 2021 at 04:24PM",pos_3_1,-40,-48,-30
"April 24, 2021 at 04:25PM",pos_3_1,-39,-37,-27
"April 24, 2021 at 04:25PM",pos_3_1,-46,-47,-29
"April 24, 2021 at 04:25PM",pos_3_1,-42,-41,-33
"April 24, 2021 at 04:25PM",pos_3_1,-45,-46,-27
"April 24, 2021 at 04:25PM",pos_3_1,-46,-51,-31
"April 24, 2021 at 04:26PM",pos_3_1,-46,-50,-30
"April 24, 2021 at 04:26PM",pos_3_1,-39,-47,-35
"April 24, 2021 at 04:26PM",pos_3_1,-41,-48,-29
"April 24, 2021 at 04:27PM",pos_3_1,-40,-39,-31
"April 24, 2021 at 04:27PM",pos_3_1,-39,-39,-27
"April 24, 2021 at 04:27PM",pos_3_1,-42,-49,-29
"April 24, 2021 at 04:28PM",pos_3_1,-38,-48,-29
"April 24, 2021 at 04:28PM",pos_3_1,-54,-38,-28
"April 24, 2021 at 04:28PM",pos_3_1,-39,-46,-27
"April 24, 2021 at 04:28PM",pos_3_1,-38,-41,-30
"April 24, 2021 at 04:28PM",pos_3_1,-45,-39,-28
"April 24, 2021 at 04:29PM",pos_3_1,-38,-40,-30
"April 24, 2021 at 04:29PM",pos_3_1,-46,-41,-31
"April 24, 2021 at 04:29PM",pos_3_1,-38,-47,-30
