"April 20, 2021 at 08:50PM",pos_2_3,AP1,AP2,AP3
"April 24, 2021 at 03:07PM",pos_2_3,-27,-55,-35
"April 24, 2021 at 03:07PM",pos_2_3,-30,-55,-34
"April 24, 2021 at 03:07PM",pos_2_3,-30,-51,-30
"April 24, 2021 at 03:07PM",pos_2_3,-29,-53,-32
"April 24, 2021 at 03:07PM",pos_2_3,-29,-41,-32
"April 24, 2021 at 03:08PM",pos_2_3,-55,-55,-33
"April 24, 2021 at 03:08PM",pos_2_3,-29,-43,-32
"April 24, 2021 at 03:08PM",pos_2_3,-29,-53,-29
"April 24, 2021 at 03:08PM",pos_2_3,-31,-53,-31
"April 24, 2021 at 03:08PM",pos_2_3,-31,-56,-32
"April 24, 2021 at 03:09PM",pos_2_3,-28,-62,-33
"April 24, 2021 at 03:09PM",pos_2_3,-29,-50,-32
"April 24, 2021 at 03:09PM",pos_2_3,-29,-54,-32
"April 24, 2021 at 03:09PM",pos_2_3,-28,-52,-27
"April 24, 2021 at 03:09PM",pos_2_3,-32,-52,-33
"April 24, 2021 at 03:10PM",pos_2_3,-33,-54,-33
"April 24, 2021 at 03:10PM",pos_2_3,-29,-50,-30
"April 24, 2021 at 03:10PM",pos_2_3,-30,-53,-30
"April 24, 2021 at 03:10PM",pos_2_3,-26,-49,-31
"April 24, 2021 at 03:11PM",pos_2_3,-29,-55,-30
"April 24, 2021 at 03:11PM",pos_2_3,-30,-53,-29
"April 24, 2021 at 03:11PM",pos_2_3,-30,-44,-27
"April 24, 2021 at 03:11PM",pos_2_3,-30,-55,-29
"April 24, 2021 at 03:11PM",pos_2_3,-27,-53,-30
"April 24, 2021 at 03:12PM",pos_2_3,-29,-55,-32
"April 24, 2021 at 03:12PM",pos_2_3,-29,-48,-34
"April 24, 2021 at 03:12PM",pos_2_3,-30,-54,-29
"April 24, 2021 at 03:12PM",pos_2_3,-33,-43,-31
"April 24, 2021 at 03:12PM",pos_2_3,-30,-44,-28
"April 24, 2021 at 03:13PM",pos_2_3,-30,-51,-30
"April 24, 2021 at 03:13PM",pos_2_3,-31,-52,-33
"April 24, 2021 at 03:13PM",pos_2_3,-29,-52,-31
"April 24, 2021 at 03:13PM",pos_2_3,-30,-57,-30
"April 24, 2021 at 03:13PM",pos_2_3,-33,-56,-31
"April 24, 2021 at 03:14PM",pos_2_3,-29,-50,-26
"April 24, 2021 at 03:14PM",pos_2_3,-28,-52,-30
"April 24, 2021 at 03:14PM",pos_2_3,-29,-54,-27
"April 24, 2021 at 03:14PM",pos_2_3,-28,-52,-26
"April 24, 2021 at 03:15PM",pos_2_3,-29,-51,-30
"April 24, 2021 at 03:15PM",pos_2_3,-29,-53,-27
"April 24, 2021 at 03:15PM",pos_2_3,-28,-50,-26
"April 24, 2021 at 03:15PM",pos_2_3,-30,-51,-33
"April 24, 2021 at 03:15PM",pos_2_3,-30,-52,-32
"April 24, 2021 at 03:16PM",pos_2_3,-30,-49,-26
"April 24, 2021 at 03:16PM",pos_2_3,-28,-40,-32
"April 24, 2021 at 03:16PM",pos_2_3,-32,-42,-25
"April 24, 2021 at 03:16PM",pos_2_3,-29,-53,-27
"April 24, 2021 at 03:16PM",pos_2_3,-32,-52,-26
"April 24, 2021 at 03:17PM",pos_2_3,-28,-49,-27
"April 24, 2021 at 03:17PM",pos_2_3,-30,-48,-29
"April 24, 2021 at 03:17PM",pos_2_3,-31,-45,-31
"April 24, 2021 at 03:17PM",pos_2_3,-32,-45,-32
"April 24, 2021 at 03:17PM",pos_2_3,-28,-41,-27
"April 24, 2021 at 03:17PM",pos_2_3,-29,-39,-27
"April 24, 2021 at 03:18PM",pos_2_3,-30,-48,-31
"April 24, 2021 at 03:18PM",pos_2_3,-29,-49,-32
"April 24, 2021 at 03:18PM",pos_2_3,-30,-42,-30
"April 24, 2021 at 03:18PM",pos_2_3,-29,-47,-29
"April 24, 2021 at 03:18PM",pos_2_3,-33,-45,-31
"April 24, 2021 at 03:19PM",pos_2_3,-29,-44,-28
"April 24, 2021 at 03:19PM",pos_2_3,-29,-44,-26
"April 24, 2021 at 03:19PM",pos_2_3,-29,-56,-30
"April 24, 2021 at 03:19PM",pos_2_3,-32,-44,-30
"April 24, 2021 at 03:20PM",pos_2_3,-29,-51,-31
"April 24, 2021 at 03:20PM",pos_2_3,-31,-43,-31
"April 24, 2021 at 03:20PM",pos_2_3,-35,-49,-29
"April 24, 2021 at 03:20PM",pos_2_3,-32,-46,-31
"April 24, 2021 at 03:21PM",pos_2_3,-32,-55,-32
"April 24, 2021 at 03:21PM",pos_2_3,-31,-44,-30
"April 24, 2021 at 03:21PM",pos_2_3,-32,-51,-32
"April 24, 2021 at 03:21PM",pos_2_3,-30,-51,-27
"April 24, 2021 at 03:22PM",pos_2_3,-31,-51,-29
"April 24, 2021 at 03:22PM",pos_2_3,-29,-51,-29
"April 24, 2021 at 03:22PM",pos_2_3,-32,-48,-31
"April 24, 2021 at 03:22PM",pos_2_3,-31,-45,-34
"April 24, 2021 at 03:22PM",pos_2_3,-29,-54,-32
"April 24, 2021 at 03:23PM",pos_2_3,-30,-50,-32
"April 24, 2021 at 03:23PM",pos_2_3,-30,-50,-30
"April 24, 2021 at 03:23PM",pos_2_3,-28,-48,-32
"April 24, 2021 at 03:23PM",pos_2_3,-28,-55,-29
"April 24, 2021 at 03:23PM",pos_2_3,-30,-41,-28
"April 24, 2021 at 03:24PM",pos_2_3,-30,-41,-31
"April 24, 2021 at 03:24PM",pos_2_3,-29,-48,-29
"April 24, 2021 at 03:24PM",pos_2_3,-28,-40,-25
"April 24, 2021 at 03:24PM",pos_2_3,-29,-49,-33
"April 24, 2021 at 03:24PM",pos_2_3,-25,-43,-32
"April 24, 2021 at 03:25PM",pos_2_3,-29,-49,-27
"April 24, 2021 at 03:25PM",pos_2_3,-28,-50,-29
"April 24, 2021 at 03:25PM",pos_2_3,-31,-47,-29
"April 24, 2021 at 03:25PM",pos_2_3,-27,-51,-28
"April 24, 2021 at 03:25PM",pos_2_3,-27,-41,-32
"April 24, 2021 at 03:26PM",pos_2_3,-30,-53,-28
"April 24, 2021 at 03:26PM",pos_2_3,-25,-49,-25
"April 24, 2021 at 03:26PM",pos_2_3,-26,-54,-27
"April 24, 2021 at 03:26PM",pos_2_3,-29,-42,-28
"April 24, 2021 at 03:27PM",pos_2_3,-25,-41,-26
"April 24, 2021 at 03:27PM",pos_2_3,-26,-51,-27
"April 24, 2021 at 03:27PM",pos_2_3,-27,-42,-28
"April 24, 2021 at 03:28PM",pos_2_3,-30,-46,-28
"April 24, 2021 at 03:28PM",pos_2_3,-30,-54,-26
"April 24, 2021 at 03:28PM",pos_2_3,-31,-51,-27
"April 24, 2021 at 03:28PM",pos_2_3,-30,-46,-31
"April 24, 2021 at 03:29PM",pos_2_3,-30,-49,-29
"April 24, 2021 at 03:29PM",pos_2_3,-31,-46,-27
"April 24, 2021 at 03:29PM",pos_2_3,-30,-36,-33
"April 24, 2021 at 03:29PM",pos_2_3,-28,-39,-30
"April 24, 2021 at 03:29PM",pos_2_3,-27,-39,-32
"April 24, 2021 at 03:29PM",pos_2_3,-27,-50,-27
"April 24, 2021 at 03:30PM",pos_2_3,-27,-43,-30
"April 24, 2021 at 03:30PM",pos_2_3,-23,-48,-27
"April 24, 2021 at 03:30PM",pos_2_3,-27,-40,-27
"April 24, 2021 at 03:30PM",pos_2_3,-27,-49,-29
"April 24, 2021 at 03:30PM",pos_2_3,-28,-49,-28
"April 24, 2021 at 03:31PM",pos_2_3,-25,-52,-29
"April 24, 2021 at 03:31PM",pos_2_3,-27,-41,-30
"April 24, 2021 at 03:31PM",pos_2_3,-29,-47,-27
"April 24, 2021 at 03:31PM",pos_2_3,-31,-47,-35
"April 24, 2021 at 03:32PM",pos_2_3,-27,-44,-26
"April 24, 2021 at 03:32PM",pos_2_3,-27,-51,-28
"April 24, 2021 at 03:32PM",pos_2_3,-26,-42,-32
"April 24, 2021 at 03:32PM",pos_2_3,-25,-72,-29
"April 24, 2021 at 03:32PM",pos_2_3,-26,-51,-24
"April 24, 2021 at 03:32PM",pos_2_3,-25,-47,-28
"April 24, 2021 at 03:33PM",pos_2_3,-28,-52,-30
"April 24, 2021 at 03:33PM",pos_2_3,-26,-40,-27
"April 24, 2021 at 03:33PM",pos_2_3,-25,-47,-29
"April 24, 2021 at 03:33PM",pos_2_3,-29,-39,-29
"April 24, 2021 at 03:33PM",pos_2_3,-28,-51,-28
"April 24, 2021 at 03:34PM",pos_2_3,-27,-52,-30
"April 24, 2021 at 03:34PM",pos_2_3,-25,-48,-35
"April 24, 2021 at 03:34PM",pos_2_3,-28,-48,-32
"April 24, 2021 at 03:34PM",pos_2_3,-27,-51,-32
"April 24, 2021 at 03:34PM",pos_2_3,-27,-39,-27
"April 24, 2021 at 03:35PM",pos_2_3,-29,-45,-33
"April 24, 2021 at 03:35PM",pos_2_3,-27,-38,-26
"April 24, 2021 at 03:35PM",pos_2_3,-26,-49,-33
"April 24, 2021 at 03:35PM",pos_2_3,-27,-49,-25
"April 24, 2021 at 03:35PM",pos_2_3,-27,-42,-28
"April 24, 2021 at 03:36PM",pos_2_3,-27,-42,-24
"April 24, 2021 at 03:36PM",pos_2_3,-27,-38,-27
"April 24, 2021 at 03:36PM",pos_2_3,-28,-40,-28
"April 24, 2021 at 03:36PM",pos_2_3,-28,-51,-27
"April 24, 2021 at 03:36PM",pos_2_3,-31,-50,-33
