RefferencePoint,AP1,AP2,AP3
pos[1.1],-32.67,-55.26,-41.6
pos[1.2],-25.86,-62.81,-33.43
pos[1.3],-27.85,-33.92,-30.23
pos[1.4],-40.62,-55.19,-17.35
pos[2.1],-40.62,-55.19,-17.35
pos[2.2],-32.25,-64.88,-32.02
pos[2.3],-29.78,-49.26,-31.09
pos[2.4],-32.11,-50.9,-23.05
pos[3.1],-39.19,-44.56,-32.32
pos[3.2],-28.16,-57.31,-31.01
pos[3.3],-33.77,-53.25,-30.98
