"April 20, 2021 at 08:45PM",pos_1_4,AP1,AP2,AP3
"April 24, 2021 at 12:57PM",pos_1_4,-40,-63,-17
"April 24, 2021 at 12:57PM",pos_1_4,-35,-57,-15
"April 24, 2021 at 12:57PM",pos_1_4,-41,-55,-17
"April 24, 2021 at 12:57PM",pos_1_4,-41,-64,-15
"April 24, 2021 at 12:57PM",pos_1_4,-41,-59,-17
"April 24, 2021 at 12:57PM",pos_1_4,-39,-63,-19
"April 24, 2021 at 12:58PM",pos_1_4,-41,-56,-15
"April 24, 2021 at 12:58PM",pos_1_4,-46,-57,-15
"April 24, 2021 at 12:58PM",pos_1_4,-40,-56,-14
"April 24, 2021 at 12:58PM",pos_1_4,-38,-59,-17
"April 24, 2021 at 12:58PM",pos_1_4,-38,-60,-13
"April 24, 2021 at 12:59PM",pos_1_4,-39,-59,-14
"April 24, 2021 at 12:59PM",pos_1_4,-39,-56,-12
"April 24, 2021 at 12:59PM",pos_1_4,-37,-56,-13
"April 24, 2021 at 12:59PM",pos_1_4,-39,-56,-15
"April 24, 2021 at 12:59PM",pos_1_4,-38,-57,-14
"April 24, 2021 at 01:00PM",pos_1_4,-41,-59,-15
"April 24, 2021 at 01:00PM",pos_1_4,-40,-55,-15
"April 24, 2021 at 01:00PM",pos_1_4,-41,-59,-16
"April 24, 2021 at 01:00PM",pos_1_4,-38,-47,-18
"April 24, 2021 at 01:00PM",pos_1_4,-37,-46,-14
"April 24, 2021 at 01:00PM",pos_1_4,-37,-47,-19
"April 24, 2021 at 01:01PM",pos_1_4,-38,-56,-17
"April 24, 2021 at 01:01PM",pos_1_4,-44,-46,-19
"April 24, 2021 at 01:01PM",pos_1_4,-37,-55,-19
"April 24, 2021 at 01:02PM",pos_1_4,-42,-58,-16
"April 24, 2021 at 01:02PM",pos_1_4,-39,-55,-14
"April 24, 2021 at 01:02PM",pos_1_4,-42,-54,-19
"April 24, 2021 at 01:02PM",pos_1_4,-38,-54,-13
"April 24, 2021 at 01:02PM",pos_1_4,-38,-57,-13
"April 24, 2021 at 01:03PM",pos_1_4,-38,-55,-14
"April 24, 2021 at 01:03PM",pos_1_4,-38,-47,-13
"April 24, 2021 at 01:03PM",pos_1_4,-38,-54,-15
"April 24, 2021 at 01:03PM",pos_1_4,-40,-58,-19
"April 24, 2021 at 01:03PM",pos_1_4,-36,-54,-12
"April 24, 2021 at 01:04PM",pos_1_4,-39,-47,-15
"April 24, 2021 at 01:04PM",pos_1_4,-43,-56,-16
"April 24, 2021 at 01:04PM",pos_1_4,-40,-55,-16
"April 24, 2021 at 01:04PM",pos_1_4,-38,-55,-17
"April 24, 2021 at 01:05PM",pos_1_4,-39,-56,-16
"April 24, 2021 at 01:05PM",pos_1_4,-43,-57,-14
"April 24, 2021 at 01:05PM",pos_1_4,-47,-59,-19
"April 24, 2021 at 01:05PM",pos_1_4,-48,-58,-18
"April 24, 2021 at 01:05PM",pos_1_4,-41,-57,-18
"April 24, 2021 at 01:06PM",pos_1_4,-38,-55,-15
"April 24, 2021 at 01:06PM",pos_1_4,-42,-54,-14
"April 24, 2021 at 01:06PM",pos_1_4,-40,-54,-17
"April 24, 2021 at 01:06PM",pos_1_4,-38,-58,-17
"April 24, 2021 at 01:06PM",pos_1_4,-40,-57,-16
"April 24, 2021 at 01:07PM",pos_1_4,-40,-54,-17
"April 24, 2021 at 01:07PM",pos_1_4,-43,-55,-17
"April 24, 2021 at 01:07PM",pos_1_4,-40,-54,-16
"April 24, 2021 at 01:07PM",pos_1_4,-41,-57,-20
"April 24, 2021 at 01:07PM",pos_1_4,-45,-44,-16
"April 24, 2021 at 01:08PM",pos_1_4,-38,-55,-14
"April 24, 2021 at 01:08PM",pos_1_4,-40,-55,-16
"April 24, 2021 at 01:08PM",pos_1_4,-42,-55,-17
"April 24, 2021 at 01:08PM",pos_1_4,-43,-45,-15
"April 24, 2021 at 01:08PM",pos_1_4,-50,-58,-17
"April 24, 2021 at 01:09PM",pos_1_4,-50,-58,-18
"April 24, 2021 at 01:09PM",pos_1_4,-39,-56,-14
"April 24, 2021 at 01:09PM",pos_1_4,-81,-56,-20
"April 24, 2021 at 01:09PM",pos_1_4,-47,-57,-18
"April 24, 2021 at 01:09PM",pos_1_4,-42,-57,-18
"April 24, 2021 at 01:10PM",pos_1_4,-41,-58,-17
"April 24, 2021 at 01:10PM",pos_1_4,-43,-45,-15
"April 24, 2021 at 01:10PM",pos_1_4,-40,-54,-15
"April 24, 2021 at 01:10PM",pos_1_4,-39,-55,-16
"April 24, 2021 at 01:10PM",pos_1_4,-39,-45,-14
"April 24, 2021 at 01:11PM",pos_1_4,-44,-54,-14
"April 24, 2021 at 01:11PM",pos_1_4,-40,-56,-16
"April 24, 2021 at 01:11PM",pos_1_4,-44,-55,-16
"April 24, 2021 at 01:11PM",pos_1_4,-38,-58,-17
"April 24, 2021 at 01:11PM",pos_1_4,-40,-56,-18
"April 24, 2021 at 01:12PM",pos_1_4,-39,-55,-15
"April 24, 2021 at 01:12PM",pos_1_4,-44,-58,-18
"April 24, 2021 at 01:12PM",pos_1_4,-38,-58,-15
"April 24, 2021 at 01:12PM",pos_1_4,-38,-54,-12
"April 24, 2021 at 01:12PM",pos_1_4,-42,-58,-18
"April 24, 2021 at 01:13PM",pos_1_4,-43,-58,-16
"April 24, 2021 at 01:13PM",pos_1_4,-39,-58,-17
"April 24, 2021 at 01:13PM",pos_1_4,-38,-57,-14
"April 24, 2021 at 01:13PM",pos_1_4,-37,-49,-19
"April 24, 2021 at 01:13PM",pos_1_4,-39,-54,-20
"April 24, 2021 at 01:14PM",pos_1_4,-38,-55,-13
"April 24, 2021 at 01:14PM",pos_1_4,-40,-58,-16
"April 24, 2021 at 01:14PM",pos_1_4,-39,-58,-15
"April 24, 2021 at 01:14PM",pos_1_4,-39,-54,-14
"April 24, 2021 at 01:14PM",pos_1_4,-41,-57,-16
"April 24, 2021 at 01:15PM",pos_1_4,-38,-54,-16
"April 24, 2021 at 01:15PM",pos_1_4,-40,-57,-16
"April 24, 2021 at 01:15PM",pos_1_4,-38,-54,-12
"April 24, 2021 at 01:15PM",pos_1_4,-42,-56,-17
"April 24, 2021 at 01:15PM",pos_1_4,-37,-44,-12
"April 24, 2021 at 01:15PM",pos_1_4,-41,-61,-19
"April 24, 2021 at 01:16PM",pos_1_4,-39,-54,-14
"April 24, 2021 at 01:16PM",pos_1_4,-39,-54,-15
"April 24, 2021 at 01:16PM",pos_1_4,-46,-55,-14
"April 24, 2021 at 01:16PM",pos_1_4,-39,-57,-16
"April 24, 2021 at 01:16PM",pos_1_4,-38,-55,-16
"April 24, 2021 at 01:17PM",pos_1_4,-40,-57,-16
"April 24, 2021 at 01:17PM",pos_1_4,-38,-59,-18
"April 24, 2021 at 01:17PM",pos_1_4,-38,-56,-14
"April 24, 2021 at 01:17PM",pos_1_4,-38,-54,-13
"April 24, 2021 at 01:17PM",pos_1_4,-39,-55,-15
"April 24, 2021 at 01:18PM",pos_1_4,-45,-45,-15
"April 24, 2021 at 01:18PM",pos_1_4,-37,-47,-17
"April 24, 2021 at 01:18PM",pos_1_4,-39,-59,-16
"April 24, 2021 at 01:18PM",pos_1_4,-40,-57,-16
"April 24, 2021 at 01:18PM",pos_1_4,-37,-54,-16
"April 24, 2021 at 01:19PM",pos_1_4,-45,-56,-15
"April 24, 2021 at 01:19PM",pos_1_4,-39,-54,-15
"April 24, 2021 at 01:19PM",pos_1_4,-38,-44,-13
"April 24, 2021 at 01:19PM",pos_1_4,-39,-54,-52
"April 24, 2021 at 01:19PM",pos_1_4,-41,-58,-16
"April 24, 2021 at 01:19PM",pos_1_4,-40,-54,-13
"April 24, 2021 at 01:20PM",pos_1_4,-38,-57,-16
"April 24, 2021 at 01:20PM",pos_1_4,-45,-55,-15
"April 24, 2021 at 01:20PM",pos_1_4,-40,-52,-13
"April 24, 2021 at 01:21PM",pos_1_4,-39,-55,-16
"April 24, 2021 at 01:21PM",pos_1_4,-39,-60,-19
"April 24, 2021 at 01:21PM",pos_1_4,-37,-55,-17
"April 24, 2021 at 01:21PM",pos_1_4,-37,-53,-13
"April 24, 2021 at 01:21PM",pos_1_4,-40,-55,-14
"April 24, 2021 at 01:22PM",pos_1_4,-74,-54,-17
"April 24, 2021 at 01:22PM",pos_1_4,-40,-48,-16
"April 24, 2021 at 01:22PM",pos_1_4,-39,-53,-13
"April 24, 2021 at 01:22PM",pos_1_4,-37,-60,-18
"April 24, 2021 at 01:22PM",pos_1_4,-38,-57,-14
"April 24, 2021 at 01:23PM",pos_1_4,-38,-58,-16
"April 24, 2021 at 01:23PM",pos_1_4,-39,-59,-17
"April 24, 2021 at 01:23PM",pos_1_4,-38,-58,-22
"April 24, 2021 at 01:23PM",pos_1_4,-39,-58,-14
"April 24, 2021 at 01:23PM",pos_1_4,-37,-58,-16
"April 24, 2021 at 01:24PM",pos_1_4,-44,-56,-15
"April 24, 2021 at 01:24PM",pos_1_4,-41,-55,-16
"April 24, 2021 at 01:24PM",pos_1_4,-38,-56,-14
"April 24, 2021 at 01:24PM",pos_1_4,-37,-53,-12
"April 24, 2021 at 01:24PM",pos_1_4,-38,-54,-13
"April 24, 2021 at 01:25PM",pos_1_4,-37,-54,-12
"April 24, 2021 at 01:25PM",pos_1_4,-41,-48,-16
"April 24, 2021 at 01:25PM",pos_1_4,-40,-60,-18
"April 24, 2021 at 01:25PM",pos_1_4,-37,-57,-17
,pos[1.4],-40.44520548,-55.11643836,-16.98630137
