"April 20, 2021 at 08:56PM",pos_3_4,AP1,AP2,AP3
"April 25, 2021 at 02:20PM",pos_3_4,-36,-47,-27
"April 25, 2021 at 02:21PM",pos_3_4,-36,-47,-27
"April 25, 2021 at 02:21PM",pos_3_4,-34,-51,-25
"April 25, 2021 at 02:21PM",pos_3_4,-36,-38,-25
"April 25, 2021 at 02:21PM",pos_3_4,-37,-39,-27
"April 25, 2021 at 02:21PM",pos_3_4,-34,-39,-25
"April 25, 2021 at 02:21PM",pos_3_4,-36,-39,-26
"April 25, 2021 at 02:22PM",pos_3_4,-44,-40,-29
"April 25, 2021 at 02:22PM",pos_3_4,-45,-47,-27
"April 25, 2021 at 02:22PM",pos_3_4,-37,-40,-25
"April 25, 2021 at 02:22PM",pos_3_4,-42,-48,-25
"April 25, 2021 at 02:22PM",pos_3_4,-35,-53,-25
"April 25, 2021 at 02:23PM",pos_3_4,-37,-47,-23
"April 25, 2021 at 02:23PM",pos_3_4,-35,-52,-28
"April 25, 2021 at 02:23PM",pos_3_4,-36,-40,-31
"April 25, 2021 at 02:23PM",pos_3_4,-36,-49,-36
"April 25, 2021 at 02:23PM",pos_3_4,-37,-35,-29
"April 25, 2021 at 02:24PM",pos_3_4,-35,-33,-26
"April 25, 2021 at 02:24PM",pos_3_4,-46,-39,-28
"April 25, 2021 at 02:24PM",pos_3_4,-36,-40,-31
"April 25, 2021 at 02:24PM",pos_3_4,-35,-47,-26
"April 25, 2021 at 02:24PM",pos_3_4,-39,-47,-29
"April 25, 2021 at 02:25PM",pos_3_4,-38,-39,-29
"April 25, 2021 at 02:25PM",pos_3_4,-37,-39,-29
"April 25, 2021 at 02:25PM",pos_3_4,-45,-40,-29
"April 25, 2021 at 02:25PM",pos_3_4,-33,-36,-26
"April 25, 2021 at 02:25PM",pos_3_4,-36,-35,-24
"April 25, 2021 at 02:25PM",pos_3_4,-36,-48,-28
"April 25, 2021 at 02:26PM",pos_3_4,-43,-41,-30
"April 25, 2021 at 02:26PM",pos_3_4,-37,-48,-29
"April 25, 2021 at 02:26PM",pos_3_4,-37,-49,-29
"April 25, 2021 at 02:26PM",pos_3_4,-36,-45,-26
"April 25, 2021 at 02:26PM",pos_3_4,-36,-37,-29
"April 25, 2021 at 02:27PM",pos_3_4,-35,-34,-24
"April 25, 2021 at 02:27PM",pos_3_4,-42,-36,-28
"April 25, 2021 at 02:27PM",pos_3_4,-36,-38,-25
"April 25, 2021 at 02:27PM",pos_3_4,-37,-37,-23
"April 25, 2021 at 02:28PM",pos_3_4,-34,-38,-28
"April 25, 2021 at 02:28PM",pos_3_4,-37,-38,-29
"April 25, 2021 at 02:28PM",pos_3_4,-43,-46,-25
"April 25, 2021 at 02:28PM",pos_3_4,-44,-39,-26
"April 25, 2021 at 02:28PM",pos_3_4,-36,-48,-26
"April 25, 2021 at 02:28PM",pos_3_4,-45,-35,-28
"April 25, 2021 at 02:29PM",pos_3_4,-33,-34,-26
"April 25, 2021 at 02:29PM",pos_3_4,-35,-39,-28
"April 25, 2021 at 02:29PM",pos_3_4,-36,-40,-24
"April 25, 2021 at 02:29PM",pos_3_4,-36,-36,-26
"April 25, 2021 at 02:29PM",pos_3_4,-34,-39,-31
"April 25, 2021 at 02:30PM",pos_3_4,-44,-39,-30
"April 25, 2021 at 02:30PM",pos_3_4,-37,-40,-27
"April 25, 2021 at 02:30PM",pos_3_4,-40,-38,-30
"April 25, 2021 at 02:30PM",pos_3_4,-35,-53,-31
"April 25, 2021 at 02:30PM",pos_3_4,-35,-50,-30
"April 25, 2021 at 02:31PM",pos_3_4,-34,-39,-28
"April 25, 2021 at 02:31PM",pos_3_4,-36,-49,-26
"April 25, 2021 at 02:31PM",pos_3_4,-36,-42,-28
"April 25, 2021 at 02:31PM",pos_3_4,-37,-48,-29
"April 25, 2021 at 02:31PM",pos_3_4,-42,-40,-30
