"April 20, 2021 at 08:56PM",pos_3_3,AP1,AP2,AP3
"April 24, 2021 at 05:20PM",pos_3_3,-38,-61,-29
"April 24, 2021 at 05:21PM",pos_3_3,-36,-53,-31
"April 24, 2021 at 05:21PM",pos_3_3,-36,-55,-31
"April 24, 2021 at 05:21PM",pos_3_3,-31,-54,-30
"April 24, 2021 at 05:21PM",pos_3_3,-34,-56,-33
"April 24, 2021 at 05:21PM",pos_3_3,-31,-53,-69
"April 24, 2021 at 05:22PM",pos_3_3,-33,-54,-34
"April 24, 2021 at 05:22PM",pos_3_3,-58,-50,-30
"April 24, 2021 at 05:22PM",pos_3_3,-33,-51,-32
"April 24, 2021 at 05:22PM",pos_3_3,-34,-52,-28
"April 24, 2021 at 05:22PM",pos_3_3,-31,-52,-29
"April 24, 2021 at 05:23PM",pos_3_3,-30,-53,-29
"April 24, 2021 at 05:23PM",pos_3_3,-33,-47,-30
"April 24, 2021 at 05:23PM",pos_3_3,-31,-55,-30
"April 24, 2021 at 05:23PM",pos_3_3,-32,-55,-34
"April 24, 2021 at 05:23PM",pos_3_3,-32,-52,-29
"April 24, 2021 at 05:24PM",pos_3_3,-33,-41,-30
"April 24, 2021 at 05:24PM",pos_3_3,-31,-52,-27
"April 24, 2021 at 05:24PM",pos_3_3,-33,-50,-30
"April 24, 2021 at 05:24PM",pos_3_3,-35,-56,-33
"April 24, 2021 at 05:24PM",pos_3_3,-31,-56,-32
"April 24, 2021 at 05:25PM",pos_3_3,-33,-51,-30
"April 24, 2021 at 05:25PM",pos_3_3,-34,-52,-30
"April 24, 2021 at 05:25PM",pos_3_3,-32,-73,-28
"April 24, 2021 at 05:25PM",pos_3_3,-35,-73,-32
"April 24, 2021 at 05:26PM",pos_3_3,-33,-51,-30
"April 24, 2021 at 05:26PM",pos_3_3,-31,-53,-31
"April 24, 2021 at 05:26PM",pos_3_3,-34,-50,-30
"April 24, 2021 at 05:26PM",pos_3_3,-36,-53,-31
"April 24, 2021 at 05:26PM",pos_3_3,-32,-57,-31
"April 24, 2021 at 05:27PM",pos_3_3,-35,-53,-29
"April 24, 2021 at 05:27PM",pos_3_3,-32,-50,-28
"April 24, 2021 at 05:27PM",pos_3_3,-33,-55,-30
"April 24, 2021 at 05:27PM",pos_3_3,-36,-57,-32
"April 24, 2021 at 05:27PM",pos_3_3,-34,-55,-29
"April 24, 2021 at 05:28PM",pos_3_3,-32,-55,-74
"April 24, 2021 at 05:28PM",pos_3_3,-34,-50,-29
"April 24, 2021 at 05:28PM",pos_3_3,-32,-53,-34
"April 24, 2021 at 05:28PM",pos_3_3,-32,-52,-30
"April 24, 2021 at 05:28PM",pos_3_3,-32,-53,-34
"April 24, 2021 at 05:29PM",pos_3_3,-33,-53,-32
"April 24, 2021 at 05:29PM",pos_3_3,-33,-51,-29
"April 24, 2021 at 05:29PM",pos_3_3,-32,-49,-32
"April 24, 2021 at 05:29PM",pos_3_3,-35,-49,-31
"April 24, 2021 at 05:29PM",pos_3_3,-32,-53,-31
"April 24, 2021 at 05:30PM",pos_3_3,-36,-52,-28
"April 24, 2021 at 05:30PM",pos_3_3,-34,-54,-30
"April 24, 2021 at 05:30PM",pos_3_3,-35,-43,-29
"April 24, 2021 at 05:30PM",pos_3_3,-31,-43,-31
"April 24, 2021 at 05:31PM",pos_3_3,-32,-51,-28
"April 24, 2021 at 05:31PM",pos_3_3,-34,-49,-29
"April 24, 2021 at 05:31PM",pos_3_3,-34,-52,-31
"April 24, 2021 at 05:31PM",pos_3_3,-32,-52,-31
"April 24, 2021 at 05:32PM",pos_3_3,-34,-51,-30
"April 24, 2021 at 05:32PM",pos_3_3,-33,-53,-29
"April 24, 2021 at 05:32PM",pos_3_3,-33,-50,-31
"April 24, 2021 at 05:32PM",pos_3_3,-30,-48,-30
"April 24, 2021 at 05:32PM",pos_3_3,-31,-44,-32
"April 24, 2021 at 05:33PM",pos_3_3,-31,-57,-33
"April 24, 2021 at 05:33PM",pos_3_3,-34,-57,-71
"April 24, 2021 at 05:33PM",pos_3_3,-31,-51,-30
"April 24, 2021 at 05:33PM",pos_3_3,-36,-53,-26
"April 24, 2021 at 05:34PM",pos_3_3,-35,-54,-27
"April 24, 2021 at 05:34PM",pos_3_3,-32,-52,-27
"April 24, 2021 at 05:34PM",pos_3_3,-37,-55,-30
"April 24, 2021 at 05:34PM",pos_3_3,-34,-52,-27
"April 24, 2021 at 05:35PM",pos_3_3,-33,-54,-28
"April 24, 2021 at 05:35PM",pos_3_3,-34,-56,-31
"April 24, 2021 at 05:35PM",pos_3_3,-35,-53,-28
"April 24, 2021 at 05:35PM",pos_3_3,-33,-52,-31
"April 24, 2021 at 05:35PM",pos_3_3,-34,-52,-28
"April 24, 2021 at 05:36PM",pos_3_3,-31,-54,-29
"April 24, 2021 at 05:36PM",pos_3_3,-33,-54,-28
"April 24, 2021 at 05:36PM",pos_3_3,-33,-52,-27
"April 24, 2021 at 05:36PM",pos_3_3,-33,-52,-27
"April 24, 2021 at 05:36PM",pos_3_3,-33,-50,-29
"April 24, 2021 at 05:37PM",pos_3_3,-32,-52,-28
"April 24, 2021 at 05:37PM",pos_3_3,-33,-52,-29
"April 24, 2021 at 05:37PM",pos_3_3,-33,-57,-31
"April 24, 2021 at 05:37PM",pos_3_3,-32,-58,-31
"April 24, 2021 at 05:37PM",pos_3_3,-31,-57,-29
"April 24, 2021 at 05:38PM",pos_3_3,-33,-57,-30
"April 24, 2021 at 05:38PM",pos_3_3,-35,-57,-26
"April 24, 2021 at 05:38PM",pos_3_3,-36,-59,-32
"April 24, 2021 at 05:38PM",pos_3_3,-35,-55,-27
"April 24, 2021 at 05:38PM",pos_3_3,-33,-51,-29
"April 24, 2021 at 05:39PM",pos_3_3,-35,-57,-28
"April 24, 2021 at 05:39PM",pos_3_3,-35,-54,-29
"April 24, 2021 at 05:39PM",pos_3_3,-33,-54,-29
"April 24, 2021 at 05:39PM",pos_3_3,-37,-56,-29
"April 24, 2021 at 05:40PM",pos_3_3,-34,-57,-28
"April 24, 2021 at 05:40PM",pos_3_3,-35,-55,-30
"April 24, 2021 at 05:40PM",pos_3_3,-34,-55,-26
"April 24, 2021 at 05:40PM",pos_3_3,-33,-56,-28
"April 24, 2021 at 05:40PM",pos_3_3,-58,-57,-29
"April 24, 2021 at 05:41PM",pos_3_3,-34,-49,-30
"April 24, 2021 at 05:41PM",pos_3_3,-34,-52,-30
"April 24, 2021 at 05:41PM",pos_3_3,-34,-53,-33
"April 24, 2021 at 05:41PM",pos_3_3,-32,-52,-28
"April 24, 2021 at 05:41PM",pos_3_3,-32,-52,-26
"April 24, 2021 at 05:41PM",pos_3_3,-33,-73,-30
"April 24, 2021 at 05:42PM",pos_3_3,-32,-54,-29
"April 24, 2021 at 05:42PM",pos_3_3,-32,-45,-29
"April 24, 2021 at 05:42PM",pos_3_3,-33,-54,-32
"April 24, 2021 at 05:42PM",pos_3_3,-32,-54,-28
"April 24, 2021 at 05:43PM",pos_3_3,-33,-51,-25
