"April 20, 2021 at 08:56PM",pos_3_2,AP1,AP2,AP3
"April 24, 2021 at 04:57PM",pos_3_2,-28,-60,-48
"April 24, 2021 at 04:57PM",pos_3_2,-28,-62,-29
"April 24, 2021 at 04:57PM",pos_3_2,-30,-64,-32
"April 24, 2021 at 04:57PM",pos_3_2,-27,-62,-33
"April 24, 2021 at 04:57PM",pos_3_2,-26,-60,-36
"April 24, 2021 at 04:58PM",pos_3_2,-27,-62,-27
"April 24, 2021 at 04:58PM",pos_3_2,-29,-52,-29
"April 24, 2021 at 04:58PM",pos_3_2,-27,-63,-32
"April 24, 2021 at 04:59PM",pos_3_2,-28,-58,-32
"April 24, 2021 at 04:59PM",pos_3_2,-26,-62,-31
"April 24, 2021 at 04:59PM",pos_3_2,-27,-56,-29
"April 24, 2021 at 04:59PM",pos_3_2,-27,-55,-30
"April 24, 2021 at 04:59PM",pos_3_2,-28,-60,-29
"April 24, 2021 at 05:00PM",pos_3_2,-29,-59,-30
"April 24, 2021 at 05:00PM",pos_3_2,-29,-58,-30
"April 24, 2021 at 05:00PM",pos_3_2,-28,-56,-30
"April 24, 2021 at 05:00PM",pos_3_2,-27,-55,-32
"April 24, 2021 at 05:00PM",pos_3_2,-26,-56,-30
"April 24, 2021 at 05:01PM",pos_3_2,-28,-58,-29
"April 24, 2021 at 05:01PM",pos_3_2,-29,-57,-29
"April 24, 2021 at 05:01PM",pos_3_2,-29,-54,-29
"April 24, 2021 at 05:01PM",pos_3_2,-29,-55,-30
"April 24, 2021 at 05:01PM",pos_3_2,-29,-66,-30
"April 24, 2021 at 05:02PM",pos_3_2,-27,-63,-31
"April 24, 2021 at 05:02PM",pos_3_2,-29,-64,-28
"April 24, 2021 at 05:02PM",pos_3_2,-29,-60,-28
"April 24, 2021 at 05:02PM",pos_3_2,-27,-56,-27
"April 24, 2021 at 05:02PM",pos_3_2,-28,-57,-47
"April 24, 2021 at 05:03PM",pos_3_2,-29,-59,-30
"April 24, 2021 at 05:03PM",pos_3_2,-29,-59,-30
"April 24, 2021 at 05:03PM",pos_3_2,-28,-61,-34
"April 24, 2021 at 05:03PM",pos_3_2,-30,-60,-30
"April 24, 2021 at 05:03PM",pos_3_2,-27,-65,-31
"April 24, 2021 at 05:03PM",pos_3_2,-27,-58,-28
"April 24, 2021 at 05:04PM",pos_3_2,-26,-59,-30
"April 24, 2021 at 05:04PM",pos_3_2,-28,-62,-34
"April 24, 2021 at 05:04PM",pos_3_2,-30,-63,-29
"April 24, 2021 at 05:04PM",pos_3_2,-29,-52,-30
"April 24, 2021 at 05:05PM",pos_3_2,-28,-61,-31
"April 24, 2021 at 05:05PM",pos_3_2,-28,-54,-30
"April 24, 2021 at 05:05PM",pos_3_2,-27,-53,-26
"April 24, 2021 at 05:05PM",pos_3_2,-27,-54,-29
"April 24, 2021 at 05:05PM",pos_3_2,-27,-56,-29
"April 24, 2021 at 05:06PM",pos_3_2,-29,-58,-31
"April 24, 2021 at 05:06PM",pos_3_2,-29,-54,-29
"April 24, 2021 at 05:06PM",pos_3_2,-30,-56,-29
"April 24, 2021 at 05:06PM",pos_3_2,-27,-61,-28
"April 24, 2021 at 05:07PM",pos_3_2,-27,-55,-27
"April 24, 2021 at 05:07PM",pos_3_2,-28,-50,-29
"April 24, 2021 at 05:07PM",pos_3_2,-28,-51,-29
"April 24, 2021 at 05:07PM",pos_3_2,-29,-51,-28
"April 24, 2021 at 05:07PM",pos_3_2,-29,-50,-28
"April 24, 2021 at 05:08PM",pos_3_2,-29,-54,-29
"April 24, 2021 at 05:08PM",pos_3_2,-26,-51,-27
"April 24, 2021 at 05:08PM",pos_3_2,-29,-52,-32
