"April 20, 2021 at 08:36PM",pos_1_3,AP1,AP2,AP3
"April 24, 2021 at 12:24PM",pos_1_3,-24,-33,-59
"April 24, 2021 at 12:24PM",pos_1_3,-29,-36,-29
"April 24, 2021 at 12:24PM",pos_1_3,-29,-36,-39
"April 24, 2021 at 12:24PM",pos_1_3,-31,-37,-36
"April 24, 2021 at 12:24PM",pos_1_3,-30,-33,-38
"April 24, 2021 at 12:25PM",pos_1_3,-27,-33,-37
"April 24, 2021 at 12:25PM",pos_1_3,-27,-35,-35
"April 24, 2021 at 12:25PM",pos_1_3,-27,-32,-37
"April 24, 2021 at 12:25PM",pos_1_3,-28,-33,-37
"April 24, 2021 at 12:25PM",pos_1_3,-26,-34,-28
"April 24, 2021 at 12:26PM",pos_1_3,-27,-37,-31
"April 24, 2021 at 12:26PM",pos_1_3,-27,-35,-31
"April 24, 2021 at 12:26PM",pos_1_3,-27,-32,-35
"April 24, 2021 at 12:27PM",pos_1_3,-26,-33,-33
"April 24, 2021 at 12:27PM",pos_1_3,-28,-31,-29
"April 24, 2021 at 12:27PM",pos_1_3,-26,-34,-30
"April 24, 2021 at 12:27PM",pos_1_3,-28,-39,-31
"April 24, 2021 at 12:28PM",pos_1_3,-26,-33,-29
"April 24, 2021 at 12:28PM",pos_1_3,-27,-32,-30
"April 24, 2021 at 12:28PM",pos_1_3,-28,-33,-35
"April 24, 2021 at 12:28PM",pos_1_3,-29,-32,-29
"April 24, 2021 at 12:28PM",pos_1_3,-29,-43,-31
"April 24, 2021 at 12:29PM",pos_1_3,-30,-33,-31
"April 24, 2021 at 12:29PM",pos_1_3,-28,-33,-33
"April 24, 2021 at 12:29PM",pos_1_3,-28,-33,-32
"April 24, 2021 at 12:29PM",pos_1_3,-28,-32,-28
"April 24, 2021 at 12:29PM",pos_1_3,-27,-34,-27
"April 24, 2021 at 12:30PM",pos_1_3,-30,-32,-32
"April 24, 2021 at 12:30PM",pos_1_3,-27,-33,-26
"April 24, 2021 at 12:30PM",pos_1_3,-28,-32,-30
"April 24, 2021 at 12:30PM",pos_1_3,-30,-31,-30
"April 24, 2021 at 12:30PM",pos_1_3,-26,-32,-22
"April 24, 2021 at 12:31PM",pos_1_3,-25,-33,-25
"April 24, 2021 at 12:31PM",pos_1_3,-27,-33,-26
"April 24, 2021 at 12:31PM",pos_1_3,-29,-39,-27
"April 24, 2021 at 12:31PM",pos_1_3,-27,-31,-29
"April 24, 2021 at 12:31PM",pos_1_3,-29,-34,-29
"April 24, 2021 at 12:31PM",pos_1_3,-28,-33,-26
