"April 20, 2021 at 08:36PM",pos_1_2,AP1,AP2,AP3
"April 24, 2021 at 11:12AM",pos_1_2,-19,-69,-31
"April 24, 2021 at 11:12AM",pos_1_2,-23,-67,-37
"April 24, 2021 at 11:13AM",pos_1_2,-26,-67,-32
"April 24, 2021 at 11:13AM",pos_1_2,-25,-66,-33
"April 24, 2021 at 11:13AM",pos_1_2,-22,-67,-31
"April 24, 2021 at 11:13AM",pos_1_2,-23,-62,-33
"April 24, 2021 at 11:13AM",pos_1_2,-24,-65,-32
"April 24, 2021 at 11:14AM",pos_1_2,-24,-62,-33
"April 24, 2021 at 11:14AM",pos_1_2,-25,-62,-36
"April 24, 2021 at 11:14AM",pos_1_2,-27,-61,-32
"April 24, 2021 at 11:14AM",pos_1_2,-27,-64,-34
"April 24, 2021 at 11:15AM",pos_1_2,-26,-66,-33
"April 24, 2021 at 11:15AM",pos_1_2,-27,-63,-35
"April 24, 2021 at 11:15AM",pos_1_2,-24,-62,-32
"April 24, 2021 at 11:15AM",pos_1_2,-23,-64,-29
"April 24, 2021 at 11:15AM",pos_1_2,-23,-68,-49
"April 24, 2021 at 11:16AM",pos_1_2,-24,-64,-50
"April 24, 2021 at 11:16AM",pos_1_2,-23,-62,-33
"April 24, 2021 at 11:16AM",pos_1_2,-25,-63,-32
"April 24, 2021 at 11:16AM",pos_1_2,-22,-62,-34
"April 24, 2021 at 11:16AM",pos_1_2,-27,-65,-33
"April 24, 2021 at 11:17AM",pos_1_2,-24,-67,-31
"April 24, 2021 at 11:17AM",pos_1_2,-26,-64,-30
"April 24, 2021 at 11:17AM",pos_1_2,-26,-59,-38
"April 24, 2021 at 11:17AM",pos_1_2,-25,-72,-33
"April 24, 2021 at 11:18AM",pos_1_2,-27,-65,-32
"April 24, 2021 at 11:18AM",pos_1_2,-27,-66,-34
"April 24, 2021 at 11:18AM",pos_1_2,-25,-60,-32
"April 24, 2021 at 11:18AM",pos_1_2,-26,-63,-31
"April 24, 2021 at 11:19AM",pos_1_2,-25,-63,-33
"April 24, 2021 at 11:19AM",pos_1_2,-27,-64,-37
"April 24, 2021 at 11:19AM",pos_1_2,-27,-62,-35
"April 24, 2021 at 11:19AM",pos_1_2,-24,-62,-30
"April 24, 2021 at 11:19AM",pos_1_2,-27,-64,-38
"April 24, 2021 at 11:20AM",pos_1_2,-24,-62,-32
"April 24, 2021 at 11:20AM",pos_1_2,-23,-65,-36
"April 24, 2021 at 11:20AM",pos_1_2,-26,-64,-36
"April 24, 2021 at 11:20AM",pos_1_2,-28,-65,-34
"April 24, 2021 at 11:20AM",pos_1_2,-27,-69,-34
"April 24, 2021 at 11:21AM",pos_1_2,-24,-63,-31
"April 24, 2021 at 11:21AM",pos_1_2,-28,-62,-33
"April 24, 2021 at 11:21AM",pos_1_2,-25,-62,-33
"April 24, 2021 at 11:21AM",pos_1_2,-27,-62,-35
"April 24, 2021 at 11:21AM",pos_1_2,-25,-65,-38
"April 24, 2021 at 11:21AM",pos_1_2,-27,-60,-36
"April 24, 2021 at 11:22AM",pos_1_2,-29,-57,-36
"April 24, 2021 at 11:22AM",pos_1_2,-25,-59,-29
"April 24, 2021 at 11:22AM",pos_1_2,-24,-58,-34
"April 24, 2021 at 11:22AM",pos_1_2,-29,-62,-34
"April 24, 2021 at 11:22AM",pos_1_2,-28,-62,-31
"April 24, 2021 at 11:23AM",pos_1_2,-24,-61,-35
"April 24, 2021 at 11:23AM",pos_1_2,-26,-59,-32
"April 24, 2021 at 11:23AM",pos_1_2,-26,-59,-32
"April 24, 2021 at 11:23AM",pos_1_2,-25,-63,-32
"April 24, 2021 at 11:23AM",pos_1_2,-27,-64,-33
"April 24, 2021 at 11:24AM",pos_1_2,-27,-61,-34
"April 24, 2021 at 11:24AM",pos_1_2,-27,-66,-34
"April 24, 2021 at 11:24AM",pos_1_2,-27,-62,-35
"April 24, 2021 at 11:24AM",pos_1_2,-27,-61,-34
"April 24, 2021 at 11:24AM",pos_1_2,-27,-59,-33
"April 24, 2021 at 11:24AM",pos_1_2,-28,-63,-32
"April 24, 2021 at 11:25AM",pos_1_2,-30,-63,-32
"April 24, 2021 at 11:25AM",pos_1_2,-28,-62,-30
"April 24, 2021 at 11:25AM",pos_1_2,-24,-62,-30
"April 24, 2021 at 11:25AM",pos_1_2,-29,-64,-27
"April 24, 2021 at 11:25AM",pos_1_2,-26,-63,-28
"April 24, 2021 at 11:26AM",pos_1_2,-27,-62,-32
"April 24, 2021 at 11:26AM",pos_1_2,-25,-60,-30
"April 24, 2021 at 11:26AM",pos_1_2,-25,-60,-29
"April 24, 2021 at 11:26AM",pos_1_2,-29,-62,-37
"April 24, 2021 at 11:26AM",pos_1_2,-29,-66,-34
"April 24, 2021 at 11:27AM",pos_1_2,-23,-63,-28
"April 24, 2021 at 11:27AM",pos_1_2,-25,-61,-34
"April 24, 2021 at 11:27AM",pos_1_2,-25,-64,-29
"April 24, 2021 at 11:27AM",pos_1_2,-27,-68,-32
"April 24, 2021 at 11:28AM",pos_1_2,-27,-67,-31
