"April 20, 2021 at 09:01PM",pos_4_3,AP1,AP2,AP3
"April 25, 2021 at 04:52PM",pos_4_3,-36,-33,-36
"April 25, 2021 at 04:52PM",pos_4_3,-39,-34,-40
"April 25, 2021 at 04:52PM",pos_4_3,-36,-36,-40
"April 25, 2021 at 04:52PM",pos_4_3,-37,-31,-37
"April 25, 2021 at 04:52PM",pos_4_3,-36,-33,-36
"April 25, 2021 at 04:53PM",pos_4_3,-38,-35,-43
"April 25, 2021 at 04:53PM",pos_4_3,-45,-35,-36
"April 25, 2021 at 04:53PM",pos_4_3,-38,-32,-39
"April 25, 2021 at 04:53PM",pos_4_3,-46,-37,-49
"April 25, 2021 at 04:53PM",pos_4_3,-38,-35,-38
"April 25, 2021 at 04:54PM",pos_4_3,-46,-33,-51
"April 25, 2021 at 04:54PM",pos_4_3,-45,-36,-48
"April 25, 2021 at 04:54PM",pos_4_3,-38,-31,-47
"April 25, 2021 at 04:54PM",pos_4_3,-39,-33,-48
"April 25, 2021 at 04:54PM",pos_4_3,-44,-36,-49
"April 25, 2021 at 04:55PM",pos_4_3,-38,-30,-47
"April 25, 2021 at 04:55PM",pos_4_3,-37,-36,-53
"April 25, 2021 at 04:55PM",pos_4_3,-44,-32,-36
"April 25, 2021 at 04:55PM",pos_4_3,-36,-29,-45
"April 25, 2021 at 04:55PM",pos_4_3,-38,-32,-37
"April 25, 2021 at 04:56PM",pos_4_3,-47,-34,-38
"April 25, 2021 at 04:56PM",pos_4_3,-38,-34,-45
"April 25, 2021 at 04:56PM",pos_4_3,-38,-31,-34
"April 25, 2021 at 04:56PM",pos_4_3,-44,-31,-34
"April 25, 2021 at 04:56PM",pos_4_3,-44,-32,-36
"April 25, 2021 at 04:56PM",pos_4_3,-38,-29,-36
"April 25, 2021 at 04:57PM",pos_4_3,-39,-31,-36
"April 25, 2021 at 04:57PM",pos_4_3,-38,-31,-38
"April 25, 2021 at 04:57PM",pos_4_3,-44,-30,-44
"April 25, 2021 at 04:57PM",pos_4_3,-46,-34,-37
"April 25, 2021 at 04:57PM",pos_4_3,-45,-32,-35
"April 25, 2021 at 04:58PM",pos_4_3,-38,-30,-47
"April 25, 2021 at 04:58PM",pos_4_3,-37,-31,-36
