"April 20, 2021 at 08:45PM",pos_2_1,AP1,AP2,AP3
"April 24, 2021 at 01:26PM",pos_2_1,-34,-42,-37
"April 24, 2021 at 01:26PM",pos_2_1,-36,-51,-38
"April 24, 2021 at 01:26PM",pos_2_1,-36,-51,-33
"April 24, 2021 at 01:27PM",pos_2_1,-36,-40,-34
"April 24, 2021 at 01:27PM",pos_2_1,-33,-41,-38
"April 24, 2021 at 01:27PM",pos_2_1,-37,-45,-40
"April 24, 2021 at 01:27PM",pos_2_1,-35,-41,-33
"April 24, 2021 at 01:27PM",pos_2_1,-37,-42,-39
"April 24, 2021 at 01:28PM",pos_2_1,-38,-41,-36
"April 24, 2021 at 01:28PM",pos_2_1,-39,-43,-38
"April 24, 2021 at 01:28PM",pos_2_1,-35,-52,-39
"April 24, 2021 at 01:28PM",pos_2_1,-37,-41,-39
"April 24, 2021 at 01:28PM",pos_2_1,-37,-41,-36
"April 24, 2021 at 01:29PM",pos_2_1,-38,-52,-45
"April 24, 2021 at 01:29PM",pos_2_1,-40,-45,-37
"April 24, 2021 at 01:29PM",pos_2_1,-42,-47,-42
"April 24, 2021 at 01:29PM",pos_2_1,-42,-54,-49
"April 24, 2021 at 01:29PM",pos_2_1,-42,-43,-47
"April 24, 2021 at 01:30PM",pos_2_1,-38,-42,-38
"April 24, 2021 at 01:30PM",pos_2_1,-37,-42,-45
"April 24, 2021 at 01:30PM",pos_2_1,-37,-41,-37
"April 24, 2021 at 01:30PM",pos_2_1,-39,-46,-41
"April 24, 2021 at 01:30PM",pos_2_1,-34,-46,-39
"April 24, 2021 at 01:31PM",pos_2_1,-38,-55,-37
"April 24, 2021 at 01:31PM",pos_2_1,-36,-54,-49
"April 24, 2021 at 01:31PM",pos_2_1,-38,-57,-38
"April 24, 2021 at 01:31PM",pos_2_1,-37,-43,-37
"April 24, 2021 at 01:31PM",pos_2_1,-36,-51,-45
"April 24, 2021 at 01:32PM",pos_2_1,-36,-44,-38
"April 24, 2021 at 01:32PM",pos_2_1,-40,-53,-38
"April 24, 2021 at 01:32PM",pos_2_1,-36,-45,-43
"April 24, 2021 at 01:32PM",pos_2_1,-36,-51,-36
"April 24, 2021 at 01:32PM",pos_2_1,-38,-56,-39
"April 24, 2021 at 01:33PM",pos_2_1,-41,-42,-37
"April 24, 2021 at 01:33PM",pos_2_1,-35,-42,-34
"April 24, 2021 at 01:33PM",pos_2_1,-34,-40,-34
"April 24, 2021 at 01:33PM",pos_2_1,-54,-55,-29
"April 24, 2021 at 01:33PM",pos_2_1,-41,-57,-41
"April 24, 2021 at 01:33PM",pos_2_1,-35,-58,-36
"April 24, 2021 at 01:34PM",pos_2_1,-34,-52,-34
"April 24, 2021 at 01:34PM",pos_2_1,-36,-56,-48
"April 24, 2021 at 01:34PM",pos_2_1,-40,-54,-37
"April 24, 2021 at 01:34PM",pos_2_1,-40,-57,-35
"April 24, 2021 at 01:35PM",pos_2_1,-38,-54,-40
"April 24, 2021 at 01:35PM",pos_2_1,-38,-48,-35
"April 24, 2021 at 01:35PM",pos_2_1,-40,-59,-39
"April 24, 2021 at 01:35PM",pos_2_1,-51,-67,-33
"April 24, 2021 at 01:35PM",pos_2_1,-33,-52,-48
"April 24, 2021 at 01:35PM",pos_2_1,-30,-42,-40
"April 24, 2021 at 01:36PM",pos_2_1,-30,-52,-38
"April 24, 2021 at 01:36PM",pos_2_1,-35,-51,-49
"April 24, 2021 at 01:36PM",pos_2_1,-37,-51,-50
"April 24, 2021 at 01:36PM",pos_2_1,-34,-52,-45
"April 24, 2021 at 01:36PM",pos_2_1,-38,-51,-47
"April 24, 2021 at 01:37PM",pos_2_1,-38,-45,-50
"April 24, 2021 at 01:37PM",pos_2_1,-37,-50,-40
"April 24, 2021 at 01:37PM",pos_2_1,-38,-56,-48
"April 24, 2021 at 01:37PM",pos_2_1,-38,-53,-40
"April 24, 2021 at 01:37PM",pos_2_1,-36,-53,-47
"April 24, 2021 at 01:38PM",pos_2_1,-37,-50,-35
"April 24, 2021 at 01:38PM",pos_2_1,-35,-50,-36
"April 24, 2021 at 01:38PM",pos_2_1,-40,-44,-48
"April 24, 2021 at 01:38PM",pos_2_1,-36,-42,-38
"April 24, 2021 at 01:38PM",pos_2_1,-39,-43,-38
"April 24, 2021 at 01:38PM",pos_2_1,-37,-46,-51
"April 24, 2021 at 01:39PM",pos_2_1,-39,-45,-52
"April 24, 2021 at 01:39PM",pos_2_1,-37,-52,-36
"April 24, 2021 at 01:39PM",pos_2_1,-40,-45,-49
"April 24, 2021 at 01:39PM",pos_2_1,-36,-44,-34
"April 24, 2021 at 01:40PM",pos_2_1,-36,-43,-34
"April 24, 2021 at 01:40PM",pos_2_1,-39,-53,-35
"April 24, 2021 at 01:40PM",pos_2_1,-37,-45,-39
"April 24, 2021 at 01:40PM",pos_2_1,-37,-43,-40
"April 24, 2021 at 01:40PM",pos_2_1,-37,-43,-36
"April 24, 2021 at 01:41PM",pos_2_1,-37,-45,-37
"April 24, 2021 at 01:41PM",pos_2_1,-37,-52,-39
"April 24, 2021 at 01:41PM",pos_2_1,-36,-54,-47
"April 24, 2021 at 01:41PM",pos_2_1,-35,-51,-39
"April 24, 2021 at 01:41PM",pos_2_1,-36,-53,-48
"April 24, 2021 at 01:42PM",pos_2_1,-35,-52,-34
"April 24, 2021 at 01:42PM",pos_2_1,-34,-52,-47
"April 24, 2021 at 01:42PM",pos_2_1,-37,-53,-47
"April 24, 2021 at 01:42PM",pos_2_1,-62,-50,-44
"April 24, 2021 at 01:42PM",pos_2_1,-36,-53,-46
"April 24, 2021 at 01:43PM",pos_2_1,-37,-54,-36
"April 24, 2021 at 01:43PM",pos_2_1,-35,-41,-46
"April 24, 2021 at 01:43PM",pos_2_1,-33,-43,-38
"April 24, 2021 at 01:43PM",pos_2_1,-36,-45,-44
"April 24, 2021 at 01:43PM",pos_2_1,-36,-55,-38
"April 24, 2021 at 01:44PM",pos_2_1,-37,-51,-34
"April 24, 2021 at 01:44PM",pos_2_1,-40,-54,-40
"April 24, 2021 at 01:44PM",pos_2_1,-33,-41,-35
"April 24, 2021 at 01:44PM",pos_2_1,-35,-54,-39
"April 24, 2021 at 01:44PM",pos_2_1,-36,-42,-46
"April 24, 2021 at 01:44PM",pos_2_1,-35,-53,-47
"April 24, 2021 at 01:45PM",pos_2_1,-36,-52,-40
"April 24, 2021 at 01:45PM",pos_2_1,-37,-54,-49
"April 24, 2021 at 01:45PM",pos_2_1,-35,-43,-49
"April 24, 2021 at 01:45PM",pos_2_1,-36,-53,-43
"April 24, 2021 at 01:45PM",pos_2_1,-37,-41,-50
"April 24, 2021 at 01:46PM",pos_2_1,-33,-42,-51
"April 24, 2021 at 01:46PM",pos_2_1,-31,-36,-48
"April 24, 2021 at 01:46PM",pos_2_1,-37,-53,-41
"April 24, 2021 at 01:46PM",pos_2_1,-34,-47,-38
"April 24, 2021 at 01:46PM",pos_2_1,-36,-39,-38
"April 24, 2021 at 01:46PM",pos_2_1,-35,-52,-52
"April 24, 2021 at 01:47PM",pos_2_1,-35,-44,-37
"April 24, 2021 at 01:47PM",pos_2_1,-36,-52,-37
"April 24, 2021 at 01:47PM",pos_2_1,-34,-49,-37
"April 24, 2021 at 01:47PM",pos_2_1,-36,-47,-54
"April 24, 2021 at 01:47PM",pos_2_1,-33,-49,-37
"April 24, 2021 at 01:48PM",pos_2_1,-34,-52,-40
"April 24, 2021 at 01:48PM",pos_2_1,-34,-51,-36
"April 24, 2021 at 01:48PM",pos_2_1,-31,-44,-41
"April 24, 2021 at 01:48PM",pos_2_1,-31,-36,-36
"April 24, 2021 at 01:48PM",pos_2_1,-33,-42,-48
"April 24, 2021 at 01:49PM",pos_2_1,-33,-43,-49
