"April 20, 2021 at 09:06PM",pos_4_4,AP1,AP2,AP3
"April 25, 2021 at 05:31PM",pos_4_4,-44,-24,-21
"April 25, 2021 at 05:31PM",pos_4_4,-48,-28,-23
"April 25, 2021 at 05:31PM",pos_4_4,-40,-28,-23
"April 25, 2021 at 05:31PM",pos_4_4,-48,-30,-25
"April 25, 2021 at 05:31PM",pos_4_4,-52,-29,-28
"April 25, 2021 at 05:32PM",pos_4_4,-42,-44,-25
"April 25, 2021 at 05:32PM",pos_4_4,-47,-29,-22
"April 25, 2021 at 05:32PM",pos_4_4,-46,-32,-21
"April 25, 2021 at 05:32PM",pos_4_4,-37,-30,-23
"April 25, 2021 at 05:32PM",pos_4_4,-37,-34,-29
"April 25, 2021 at 05:33PM",pos_4_4,-46,-28,-24
"April 25, 2021 at 05:33PM",pos_4_4,-52,-28,-25
"April 25, 2021 at 05:33PM",pos_4_4,-42,-34,-28
"April 25, 2021 at 05:33PM",pos_4_4,-47,-33,-23
"April 25, 2021 at 05:33PM",pos_4_4,-42,-29,-23
"April 25, 2021 at 05:34PM",pos_4_4,-50,-33,-22
"April 25, 2021 at 05:34PM",pos_4_4,-39,-31,-24
"April 25, 2021 at 05:34PM",pos_4_4,-40,-34,-24
"April 25, 2021 at 05:34PM",pos_4_4,-41,-29,-25
"April 25, 2021 at 05:34PM",pos_4_4,-40,-30,-23
"April 25, 2021 at 05:34PM",pos_4_4,-47,-29,-24
"April 25, 2021 at 05:35PM",pos_4_4,-40,-31,-23
"April 25, 2021 at 05:35PM",pos_4_4,-37,-36,-20
"April 25, 2021 at 05:35PM",pos_4_4,-38,-36,-25
"April 25, 2021 at 05:35PM",pos_4_4,-41,-31,-23
"April 25, 2021 at 05:35PM",pos_4_4,-46,-34,-24
"April 25, 2021 at 05:36PM",pos_4_4,-38,-33,-21
"April 25, 2021 at 05:36PM",pos_4_4,-40,-31,-22
"April 25, 2021 at 05:36PM",pos_4_4,-48,-32,-21
"April 25, 2021 at 05:37PM",pos_4_4,-48,-29,-23
"April 25, 2021 at 05:37PM",pos_4_4,-39,-34,-25
"April 25, 2021 at 05:37PM",pos_4_4,-37,-31,-23
"April 25, 2021 at 05:37PM",pos_4_4,-37,-42,-23
"April 25, 2021 at 05:37PM",pos_4_4,-47,-32,-21
"April 25, 2021 at 05:38PM",pos_4_4,-45,-31,-23
"April 25, 2021 at 05:38PM",pos_4_4,-45,-32,-25
"April 25, 2021 at 05:38PM",pos_4_4,-47,-30,-23
"April 25, 2021 at 05:38PM",pos_4_4,-36,-34,-23
"April 25, 2021 at 05:38PM",pos_4_4,-39,-35,-23
